V744A,V744B,V744C,V744D,V744E,education_femme,age_femme,exposition_medias,nb_enfants,quintile_richesse,femme_travaille,education_conjoint,alcool_conjoint,milieu_rural,television,radio,violence_physique
0,0,0,0,0,1,19.555775882208227,0,6,1,0,1,0,0,0,2,0
0,0,0,0,0,2,34.84265948168817,0,2,5,1,2,0,1,1,1,0
1,0,0,1,0,1,24.5913187586327,1,9,2,1,1,0,1,0,1,1
0,0,0,0,0,2,44.24918968796127,1,1,1,0,1,0,0,1,1,0
0,0,0,0,0,1,39.73196327620925,1,2,1,0,1,0,1,1,0,0
0,0,0,1,0,2,34.761153794743954,1,2,4,1,1,0,1,2,2,1
0,0,0,0,0,1,35.72673189915543,1,2,3,1,0,0,1,1,1,0
0,0,1,0,0,0,25.80458292435777,0,1,4,1,1,0,1,0,1,1
1,0,0,0,0,0,25.806958578248885,0,5,4,0,1,0,0,2,1,1
0,1,0,0,0,1,39.51254688321272,0,2,1,0,2,0,0,0,2,1
0,0,0,0,1,3,41.394545819824486,0,3,1,0,2,0,0,1,2,1
0,0,0,1,1,3,39.43104005879598,1,2,2,0,1,0,0,1,0,1
0,0,0,0,0,2,28.52358129526239,0,6,1,1,1,0,1,2,0,0
0,0,0,1,0,1,29.260704679061362,0,7,1,1,2,0,0,0,2,1
0,0,0,1,1,1,24.234661929213228,0,5,3,1,1,0,0,1,0,1
1,1,0,0,0,1,40.04476068649833,0,7,2,0,2,0,1,1,0,1
0,0,0,0,0,1,14.658463273025202,0,4,5,1,2,0,0,2,2,0
0,1,0,0,0,0,12.400602364829563,0,5,1,1,2,0,0,2,1,1
0,0,0,0,1,2,14.254807836207142,1,3,3,1,1,0,0,0,2,1
0,0,0,0,0,0,12.97298967094273,1,2,5,0,1,0,1,1,1,0
1,0,0,1,0,2,45.521410383932746,1,2,1,0,0,0,1,1,0,1
1,1,0,0,0,2,40.21728988120354,1,4,5,0,0,0,0,1,0,1
0,0,0,0,0,1,21.753051604347597,1,1,2,1,1,0,1,2,0,0
0,0,0,0,0,2,31.91482396780675,0,4,5,1,1,0,0,0,0,0
0,1,0,0,1,1,46.53185047678979,1,2,4,1,2,0,0,0,2,1
0,0,0,0,0,1,37.55184717448554,0,1,4,1,1,0,0,2,2,0
0,0,1,1,0,1,52.56369929212849,0,1,1,0,2,0,1,1,2,1
0,1,1,1,1,2,31.83732495293679,1,2,5,0,0,0,1,1,1,1
0,0,0,0,0,1,26.807021798735143,0,1,2,1,1,1,0,2,1,0
0,0,1,0,0,2,22.845684749809838,0,6,1,0,2,0,1,1,2,1
0,0,0,0,0,1,33.119895298934836,0,4,4,1,0,0,0,1,1,0
1,0,0,0,0,1,41.6053988417588,0,3,5,1,2,0,0,1,2,1
0,0,1,0,0,1,33.821862809404394,1,5,5,1,1,0,0,0,2,1
0,0,0,0,1,2,29.568786503319966,0,2,3,1,0,0,0,2,2,1
0,0,0,0,0,2,44.58564004845008,1,4,2,1,0,0,0,1,1,0
1,0,0,0,0,2,37.81869649403694,0,3,3,1,1,0,0,1,1,1
0,1,0,0,0,1,31.845040581434855,0,2,2,0,0,0,0,2,1,1
0,1,0,0,0,0,25.770701156960676,0,3,2,1,1,0,1,0,1,1
0,0,0,0,0,2,30.533682038754307,1,5,3,0,2,0,1,0,2,0
0,0,0,0,0,0,37.29654917163922,1,3,4,1,2,0,1,2,1,0
0,1,0,0,0,1,25.64275545212965,0,2,5,0,1,0,1,2,2,1
0,0,0,0,0,1,21.42702766946232,1,4,1,0,2,0,0,2,1,0
0,0,1,0,0,2,28.43459331360435,1,1,1,1,2,0,0,0,0,1
0,1,0,0,0,2,32.44234986367703,0,4,1,0,0,0,0,2,0,1
0,0,0,0,0,1,45.578598536041724,0,6,3,0,2,0,0,2,0,0
0,0,0,1,0,2,22.111652460278567,1,3,1,0,1,0,0,2,1,1
1,0,0,0,0,2,35.0087573014755,0,1,3,1,1,0,1,1,1,1
0,0,0,0,0,1,30.318585298242745,0,3,4,0,1,0,0,0,1,0
0,0,0,0,0,1,30.78015069091863,0,4,5,1,1,0,0,1,2,0
0,0,0,0,0,2,47.21610661682359,0,4,5,1,1,0,1,0,2,0
0,0,1,0,0,2,33.65527287712592,0,3,1,1,0,0,0,1,2,1
0,0,0,0,0,0,24.403939321043254,1,3,2,0,1,0,1,0,0,0
0,1,0,0,0,2,41.165344510374126,1,3,1,0,0,0,0,1,0,1
0,1,0,0,1,1,40.48173835475382,1,3,4,1,0,0,1,1,2,1
0,0,0,1,0,2,23.58910865912899,1,3,4,0,2,0,1,1,1,1
0,1,0,0,0,1,21.80568841391048,0,4,1,1,2,0,0,1,1,1
0,1,0,0,0,1,36.71783343977575,0,5,1,0,1,0,0,2,2,1
0,0,0,0,0,2,32.59338905570291,1,2,2,0,2,0,0,1,0,0
0,0,0,0,0,1,28.523580846206972,0,3,1,1,1,0,1,0,1,0
1,0,0,0,0,1,42.72357612429184,1,3,3,1,2,0,1,1,1,1
0,0,0,0,0,2,27.39178952686745,0,6,1,1,2,0,0,1,0,0
0,0,1,0,0,2,36.820534993281505,0,0,4,0,2,0,1,1,1,1
0,0,0,0,0,2,43.82419262194233,0,6,2,0,2,0,0,2,0,0
1,0,0,0,0,1,29.746083000621873,1,3,3,1,1,0,1,2,1,1
1,0,0,0,0,2,15.889381767018211,1,2,3,0,1,0,0,1,1,1
0,1,0,0,0,1,29.151469614427903,1,2,2,1,1,0,0,0,1,1
0,0,0,1,0,0,34.66033879665157,1,3,3,0,2,0,0,0,2,1
0,0,0,0,0,1,42.227955267694114,0,1,1,0,0,0,0,1,2,0
0,0,0,0,0,0,28.053205580806143,0,3,2,1,1,0,1,2,2,0
0,0,0,0,0,1,48.92476905210789,0,4,4,0,1,0,0,1,1,0
0,1,1,0,0,1,20.820951877776203,0,8,2,1,2,0,0,0,1,1
0,0,0,0,0,3,34.426536080290084,1,8,2,1,2,0,1,1,0,0
1,0,0,0,0,2,30.675783786504393,1,4,3,1,2,0,1,2,2,1
1,0,0,1,0,2,45.427945306201806,0,5,3,1,0,0,0,1,2,1
0,0,1,0,0,2,19.195081218727935,1,4,3,0,1,0,1,2,0,1
0,0,0,1,0,2,36.85840325066408,1,1,5,1,0,1,0,2,2,1
0,0,0,0,1,1,30.628645823379188,1,2,1,1,1,0,1,0,1,1
0,1,0,0,0,2,47.121010832079705,0,8,3,1,2,0,0,1,0,1
1,0,0,0,0,1,25.194404264629988,1,3,1,0,2,0,1,0,2,1
1,0,0,0,0,1,36.762459841198265,1,4,3,0,1,0,1,0,1,1
0,0,0,0,0,0,25.10481867392801,1,3,1,1,2,0,0,1,1,0
0,0,0,0,0,2,34.64897825003249,0,3,4,1,1,0,1,0,1,0
0,1,0,0,0,0,29.464906683603814,0,3,2,0,1,1,1,0,1,1
0,0,0,1,0,2,29.317363276105947,0,10,2,1,2,0,0,0,0,1
1,0,0,0,0,2,14.416851665632972,0,1,3,0,1,0,0,2,1,1
0,0,0,0,0,1,36.7556317985303,0,3,3,0,2,0,0,0,1,0
0,1,0,0,0,1,22.835176026347792,0,5,2,1,2,0,0,2,1,1
0,0,0,0,0,2,22.514879580017407,0,2,1,1,1,0,1,1,2,0
0,1,0,0,0,1,18.435864328303396,0,3,3,1,0,0,1,2,0,1
0,1,1,1,0,2,23.078740966889416,1,5,2,1,1,0,0,0,1,1
0,0,0,0,0,2,37.55446182686143,0,1,1,0,1,0,0,2,2,0
0,0,1,0,1,0,37.095911582923605,0,3,3,0,2,0,0,1,0,1
0,0,1,0,0,0,39.072511933033425,0,7,2,0,0,0,1,0,1,1
0,1,0,0,0,3,23.349077696543258,0,5,3,0,1,0,1,2,1,1
0,0,1,0,0,3,34.89746911782633,1,2,1,1,1,0,0,1,2,1
0,0,0,0,0,1,27.176933143061675,0,4,3,1,2,0,0,1,1,0
0,1,0,0,0,0,41.77898610154634,1,7,4,0,2,0,1,1,2,1
0,0,0,0,0,2,36.86192978005201,0,2,1,0,1,0,1,1,2,0
0,0,0,0,0,1,26.794379561563403,0,1,3,1,0,0,0,1,2,0
0,0,0,0,0,2,42.5773524784596,1,2,1,0,1,0,0,1,1,0
1,0,0,0,0,2,37.61830236796432,1,4,2,1,2,0,0,0,0,1
0,1,0,0,0,2,20.000873709701427,0,2,2,1,2,0,0,1,1,1
0,0,0,1,0,1,17.354843713616344,1,6,4,1,1,0,0,1,1,1
0,0,0,0,0,2,20.366521869102453,1,3,1,1,1,0,1,0,0,0
0,1,0,0,1,1,48.23738996369774,0,4,2,1,0,0,1,0,2,1
0,0,0,0,0,0,23.456197577861197,1,3,5,1,2,0,0,0,1,0
0,1,1,0,1,2,50.34810393144094,1,1,4,0,0,0,0,1,0,1
1,1,0,0,0,1,22.973937177594145,0,2,3,1,2,0,1,1,0,1
0,0,0,0,0,2,21.983054985920695,1,5,2,0,1,0,1,1,1,0
1,0,1,0,0,2,41.08355807388834,0,4,4,0,2,0,0,2,1,1
0,0,0,0,0,1,41.507366791392656,0,4,3,1,1,0,1,1,2,0
0,0,0,0,0,1,38.06917411479266,0,5,2,1,1,0,1,0,1,0
0,0,0,1,0,1,39.1878257322623,1,3,2,0,1,0,0,1,0,1
0,0,0,0,1,1,25.444917489167498,1,4,2,0,2,0,0,2,1,1
0,0,1,0,0,2,40.64692971797004,0,2,5,0,2,0,0,2,0,1
0,1,0,0,0,2,35.131969046982995,0,3,3,1,0,0,1,2,1,1
0,0,0,0,0,2,29.5029388768698,0,2,4,1,0,0,0,1,2,0
0,0,0,0,0,2,33.779965049398335,0,2,2,0,2,0,1,0,2,0
0,0,0,0,0,1,42.76400610878829,1,2,5,1,2,0,0,1,2,0
0,1,0,1,0,1,36.544210607507694,1,4,2,1,2,0,1,1,2,1
0,0,1,1,0,1,12.832440537886768,0,4,1,0,2,0,1,2,1,1
1,1,1,0,0,1,41.188419203014455,0,5,4,0,1,0,1,2,0,1
1,0,0,0,0,1,40.47614003520171,0,2,3,1,2,0,1,2,1,1
1,0,0,0,0,1,29.374698479342843,0,2,1,0,0,0,1,1,1,1
0,0,0,0,0,3,33.98575912693784,1,6,1,1,1,0,0,0,1,0
0,0,0,0,0,0,33.948479685781784,0,2,5,0,1,0,0,1,2,0
1,0,0,0,1,2,14.491025943416052,0,4,3,0,0,0,0,2,0,1
0,0,0,0,0,0,29.16446612542478,0,4,2,1,0,0,1,2,0,0
1,0,1,0,0,1,29.524313175093756,1,5,2,0,2,0,1,1,1,1
1,1,0,0,1,1,31.423840119664348,0,1,1,0,1,0,0,0,0,1
1,0,0,0,0,1,28.009615796030904,0,3,3,1,1,0,1,0,0,1
0,1,0,0,0,1,39.06442845377745,1,4,2,1,1,0,1,1,1,1
0,0,0,1,0,2,25.375101243348688,0,4,5,0,1,0,0,1,1,1
1,0,0,0,0,2,41.36371764401903,1,4,1,1,2,0,1,1,1,1
0,0,0,0,0,2,38.626401375593026,1,4,1,0,0,0,0,1,0,0
0,0,0,0,0,2,45.551891006554804,0,6,2,1,0,0,0,1,0,0
0,0,0,0,0,2,49.024331017474594,0,3,4,1,1,0,1,2,1,0
1,0,0,1,0,2,49.086201939164695,0,2,4,1,1,0,1,2,2,1
0,0,0,0,0,0,21.873752931377332,1,3,1,1,0,0,1,2,1,0
0,0,0,0,0,3,36.10092827103469,1,4,2,1,2,0,0,1,2,0
0,0,0,0,0,2,26.224587816285297,1,4,1,1,1,0,1,0,2,0
0,1,0,1,0,2,63.406786184108796,0,5,2,1,2,0,0,2,1,1
1,0,1,0,0,2,38.61086363855855,0,2,1,1,2,0,1,0,2,1
0,0,0,1,0,1,46.07170150415229,0,2,5,0,2,0,0,1,1,1
0,0,0,1,0,2,36.94893638253595,1,2,4,1,1,0,1,2,0,1
1,0,1,0,0,2,8.390379302960824,1,6,1,0,1,0,0,1,0,1
0,0,0,1,0,2,25.612845205969116,0,1,3,1,2,0,1,1,1,1
0,0,0,0,0,2,26.524078651617337,0,4,5,1,0,0,1,2,0,0
0,0,0,0,0,1,29.27174191865827,1,2,2,1,1,0,0,2,1,0
0,0,0,0,0,1,36.243985192356895,0,6,2,1,0,0,1,1,0,0
0,0,1,1,0,2,37.56239433705359,0,4,2,1,2,0,0,1,0,1
0,0,0,0,0,0,8.465771110635707,0,7,3,1,1,0,1,0,1,0
0,0,0,0,0,2,30.696648053162612,0,3,3,1,0,0,0,1,2,0
1,1,0,0,0,2,28.38135207111337,0,4,1,1,1,0,1,1,0,1
1,0,0,1,0,1,45.74365641043317,0,2,1,1,2,0,0,1,2,1
0,0,0,0,0,0,38.40787481794801,0,2,4,1,0,0,0,0,2,0
0,1,0,0,0,2,31.197379041644627,0,6,5,0,1,0,1,2,1,1
0,1,0,0,0,0,34.980231661922936,0,2,3,1,1,0,0,1,1,1
0,0,0,0,1,1,17.210685749215834,0,6,5,1,2,0,0,0,1,1
0,0,1,0,0,2,39.050574016935805,0,2,5,0,1,0,1,0,2,1
0,1,0,0,0,2,29.221488038487216,0,5,2,1,2,0,1,2,0,1
1,0,0,0,0,2,25.39137741331566,0,2,2,0,1,0,0,1,2,1
0,1,0,1,0,2,45.122356110477185,1,0,4,0,0,0,0,1,1,1
0,0,1,0,0,1,35.444301650901615,0,4,5,0,2,0,0,1,1,1
0,0,0,0,0,2,26.71149234931953,0,4,5,1,1,0,1,1,2,0
0,0,0,0,0,2,27.279143739879835,0,4,2,0,1,0,1,2,0,0
0,0,0,0,0,2,36.302928958656594,1,7,2,1,2,0,1,2,2,0
0,1,0,0,0,1,35.579993057207844,0,3,4,0,2,0,0,2,2,1
0,1,0,0,1,1,33.17365297824733,0,3,2,0,2,0,0,2,1,1
0,0,0,1,0,1,21.708785586057623,1,2,5,0,1,0,1,1,2,1
0,0,0,0,0,1,23.08418461298386,0,3,3,1,1,0,0,1,0,0
0,1,0,0,0,1,25.9406800030538,1,6,2,1,2,0,0,1,1,1
0,0,0,0,0,3,31.075838193999555,1,3,2,1,2,0,1,1,0,0
0,0,1,0,0,1,32.51580711309708,1,5,4,1,1,0,0,0,2,1
0,0,1,0,0,1,31.41226946066561,0,5,1,1,1,0,1,2,2,1
0,0,0,1,0,1,31.837521862044504,0,2,5,1,0,0,1,2,1,1
0,1,0,0,0,2,50.39558406066595,1,1,2,0,2,0,0,0,2,1
0,0,0,0,0,2,40.79802580531649,0,2,4,1,0,0,1,0,1,0
0,0,1,0,0,2,43.950415835898596,0,2,4,1,1,0,1,0,1,1
0,1,0,0,0,2,37.21765512154501,0,3,4,1,2,0,0,2,1,1
0,0,1,0,0,2,33.573344852541105,0,4,4,0,2,0,0,1,1,1
0,0,0,0,0,2,36.712611628412176,0,5,3,0,1,0,0,1,0,0
0,0,0,0,0,1,35.00012760532359,0,6,2,0,2,0,1,0,1,0
0,0,0,0,0,1,40.41419734008744,0,0,3,1,1,0,0,2,1,0
0,0,0,0,0,1,23.831193660169564,0,3,3,1,2,0,0,0,1,0
0,0,1,0,0,1,39.64014797993277,1,2,2,1,2,0,0,0,2,1
1,0,0,1,0,2,34.45364561962891,0,4,3,0,2,0,0,1,2,1
0,0,0,1,0,1,16.094090549863004,0,4,2,1,1,0,1,1,2,1
0,0,0,0,0,2,33.69721168566916,1,3,3,0,0,0,0,0,2,0
0,0,0,0,1,1,20.75217445173059,1,5,4,1,1,0,1,2,0,1
0,0,0,0,0,1,27.924521637509734,0,2,4,1,1,0,1,2,1,0
0,0,0,1,0,1,31.419526864279046,1,6,2,1,1,0,1,0,2,1
0,0,1,0,0,2,18.883952619772444,0,3,3,1,0,0,1,1,0,1
0,0,0,0,1,2,32.40020699897214,0,3,1,0,2,0,1,0,2,1
1,1,0,0,0,3,33.536753116755726,1,1,5,1,2,1,1,1,0,1
1,1,0,0,0,2,39.92218570571103,0,3,1,0,1,0,0,2,0,1
0,0,0,0,0,1,28.679982242356893,1,2,2,0,2,0,1,1,0,0
0,1,0,0,1,1,35.452617540171246,0,3,1,1,0,0,0,2,1,1
0,0,0,0,0,2,32.01266143324156,1,3,4,0,2,0,0,1,1,0
0,1,0,0,1,2,29.010082153324714,0,6,3,1,1,0,0,2,1,1
0,0,0,0,0,1,17.36363115519456,0,4,2,1,1,0,1,1,1,0
0,0,0,1,1,1,31.862117141835668,1,2,3,0,2,0,0,2,2,1
0,0,0,0,0,2,39.82396622584328,1,3,1,1,1,0,1,0,1,0
0,0,1,0,0,1,24.216433847558413,1,1,4,0,2,0,1,0,2,1
0,1,0,0,0,2,30.874610089926055,0,2,2,0,1,0,1,1,0,1
1,0,0,0,0,2,32.24446786422299,0,3,3,0,0,0,0,0,1,1
0,0,0,0,0,1,43.1526978755704,1,1,5,1,1,0,0,0,1,0
0,0,0,0,0,1,33.180002761861175,0,6,1,1,2,1,0,0,1,0
0,0,0,0,0,2,35.57921259041174,0,2,2,1,1,0,0,1,2,0
0,0,0,0,1,2,32.81949876230908,0,3,1,1,2,0,0,1,1,1
0,0,0,0,0,2,28.321555827746668,1,8,5,1,2,0,1,1,2,0
0,1,0,0,0,2,22.349392566715153,0,4,2,1,0,0,0,0,1,1
0,0,0,0,0,2,30.24882949413707,1,3,1,0,0,0,1,0,1,0
0,0,0,0,0,1,36.55824153147062,0,4,4,0,1,0,0,2,0,0
0,1,0,0,0,2,34.04461022239607,0,4,3,0,2,1,0,2,1,1
0,0,0,0,0,1,46.659507446341635,1,2,4,1,0,0,1,0,1,0
0,0,0,0,0,0,41.696423940539766,0,4,4,1,1,0,0,1,1,0
1,0,0,0,0,1,44.43718847484973,0,4,5,0,2,0,1,1,2,1
0,1,0,0,1,0,13.999827530243042,0,3,1,1,0,0,0,1,2,1
0,0,0,0,0,1,47.58780854717077,0,5,1,1,1,0,0,1,0,0
0,1,0,0,0,2,35.38134783654245,1,4,5,1,1,0,1,1,0,1
0,1,0,0,0,0,36.70300680052275,0,4,5,1,0,0,0,1,1,1
0,0,0,0,0,2,41.23305431464898,0,3,2,1,2,0,0,1,0,0
0,0,1,0,0,2,33.098250968246724,0,3,2,0,2,0,1,1,2,1
0,0,0,1,0,1,22.94546090821914,1,2,2,0,1,0,0,1,1,1
0,0,1,0,0,1,46.36089098810595,1,5,4,0,0,0,1,2,2,1
