violence_physique,viol_phys_mod,viol_phys_sev,age_femme,education_femme,sit_matrimoniale,enceinte,lecture_journal,ecoute_radio,regarde_tv,score_media,age_conjoint,ecart_age,education_conjoint,conjoint_alcool,region,milieu
0,0.0,0.0,30,Aucun,Mariee,Non,Jamais,Jamais,Jamais,0.0,41.0,11.0,Aucun,Non,Adamaoua,Rural
0,0.0,0.0,48,Aucun,Mariee,Non,Jamais,Jamais,Jamais,0.0,58.0,10.0,Aucun,Non,Adamaoua,Rural
0,0.0,0.0,18,Primaire,Mariee,Non,Jamais,Jamais,Jamais,0.0,25.0,7.0,Aucun,Non,Adamaoua,Rural
0,0.0,0.0,23,Aucun,Mariee,Non,Jamais,Jamais,Jamais,0.0,36.0,13.0,Aucun,Non,Adamaoua,Rural
0,0.0,0.0,35,Aucun,Veuve,Non,Jamais,Jamais,Jamais,0.0,38.0,8.0,Superieur,Non,Adamaoua,Rural
0,0.0,0.0,25,Aucun,Mariee,Non,Jamais,Jamais,Jamais,0.0,36.0,11.0,Aucun,Non,Adamaoua,Rural
0,0.0,0.0,35,Aucun,Mariee,Non,Jamais,Jamais,Jamais,0.0,45.0,10.0,Aucun,Non,Adamaoua,Rural
0,0.0,0.0,30,Aucun,Mariee,Non,Jamais,Jamais,Jamais,0.0,36.0,6.0,Aucun,Non,Adamaoua,Rural
0,0.0,0.0,18,Secondaire,Mariee,Non,Jamais,Jamais,Jamais,0.0,26.0,8.0,Superieur,Non,Adamaoua,Rural
0,0.0,0.0,30,Aucun,Mariee,Non,Jamais,Jamais,Jamais,0.0,60.0,30.0,Aucun,Non,Adamaoua,Rural
0,0.0,0.0,28,Aucun,Mariee,Oui,Jamais,Jamais,Jamais,0.0,35.0,7.0,Aucun,Non,Adamaoua,Rural
0,0.0,0.0,25,Aucun,Mariee,Non,Jamais,Jamais,Jamais,0.0,40.0,15.0,Aucun,Non,Adamaoua,Rural
0,0.0,0.0,25,Aucun,Mariee,Non,Jamais,Jamais,Jamais,0.0,28.0,3.0,Aucun,Non,Adamaoua,Rural
0,0.0,0.0,49,Secondaire,Veuve,Non,Au_moins_1x_sem,Au_moins_1x_sem,Au_moins_1x_sem,2.0,38.0,8.0,Superieur,Oui,Ouest,Urbain
0,0.0,0.0,28,Superieur,Mariee,Non,Jamais,Au_moins_1x_sem,Au_moins_1x_sem,1.3333333333333333,36.0,8.0,Superieur,Oui,Ouest,Urbain
0,0.0,0.0,27,Superieur,Mariee,Non,Jamais,Au_moins_1x_sem,Au_moins_1x_sem,1.3333333333333333,33.0,6.0,Superieur,Oui,Ouest,Urbain
0,0.0,0.0,22,Aucun,Mariee,Non,Jamais,Jamais,Jamais,0.0,52.0,30.0,Aucun,Oui,Littoral,Rural
1,1.0,0.0,36,Aucun,Mariee,Non,Jamais,Jamais,Jamais,0.0,39.0,3.0,Primaire,Oui,Littoral,Rural
0,0.0,0.0,32,Aucun,Mariee,Oui,Jamais,Jamais,Jamais,0.0,40.0,8.0,Aucun,Oui,Littoral,Rural
0,0.0,0.0,47,Primaire,Veuve,Non,Jamais,Jamais,Jamais,0.0,38.0,8.0,Superieur,Oui,Littoral,Rural
0,0.0,0.0,17,Aucun,Mariee,Non,Jamais,Jamais,Jamais,0.0,26.0,9.0,Secondaire,Oui,Littoral,Rural
0,0.0,0.0,20,Primaire,Mariee,Non,Jamais,Jamais,Jamais,0.0,28.0,8.0,Superieur,Non,Littoral,Rural
0,0.0,0.0,46,Primaire,Mariee,Non,Jamais,Jamais,Jamais,0.0,57.0,11.0,Superieur,Non,Littoral,Rural
0,0.0,0.0,32,Aucun,Veuve,Non,Jamais,Jamais,Jamais,0.0,38.0,8.0,Superieur,Non,Littoral,Rural
1,1.0,1.0,26,Secondaire,Mariee,Non,Jamais,Jamais,Jamais,0.0,28.0,2.0,Superieur,Oui,Littoral,Rural
0,0.0,0.0,45,Aucun,Mariee,Non,Jamais,Jamais,Jamais,0.0,55.0,10.0,Aucun,Non,Littoral,Rural
0,0.0,0.0,39,Primaire,Mariee,Non,Jamais,Moins_1x_sem,Au_moins_1x_sem,1.0,40.0,1.0,Primaire,Oui,Littoral,Rural
1,1.0,1.0,23,Primaire,Mariee,Non,Jamais,Jamais,Jamais,0.0,31.0,8.0,Primaire,Oui,Littoral,Rural
0,0.0,0.0,40,Aucun,Mariee,Non,Jamais,Jamais,Jamais,0.0,57.0,17.0,Aucun,Oui,Littoral,Rural
0,0.0,0.0,20,Primaire,Mariee,Non,Jamais,Jamais,Jamais,0.0,38.0,18.0,Superieur,Non,Littoral,Rural
0,0.0,0.0,23,Primaire,Mariee,Non,Jamais,Jamais,Jamais,0.0,30.0,7.0,Aucun,Non,Littoral,Rural
0,0.0,0.0,48,Primaire,Mariee,Non,Jamais,Jamais,Au_moins_1x_sem,0.6666666666666666,61.0,13.0,Secondaire,Non,Nord,Urbain
0,0.0,0.0,28,Primaire,Mariee,Non,Jamais,Jamais,Au_moins_1x_sem,0.6666666666666666,32.0,4.0,Secondaire,Oui,Nord,Urbain
1,1.0,0.0,44,Primaire,Mariee,Non,Jamais,Jamais,Jamais,0.0,49.0,5.0,Superieur,Oui,Nord,Urbain
0,0.0,0.0,24,Secondaire,Union_libre,Non,Jamais,Jamais,Au_moins_1x_sem,0.6666666666666666,30.0,6.0,Superieur,Non,Nord,Urbain
0,0.0,0.0,28,Secondaire,Union_libre,Non,Jamais,Moins_1x_sem,Au_moins_1x_sem,1.0,33.0,5.0,Superieur,Non,Nord,Urbain
0,0.0,0.0,19,Primaire,Union_libre,Oui,Jamais,Jamais,Au_moins_1x_sem,0.6666666666666666,35.0,16.0,Superieur,Non,Nord,Urbain
1,1.0,0.0,26,Secondaire,Union_libre,Non,Jamais,Jamais,Moins_1x_sem,0.3333333333333333,31.0,5.0,Superieur,Oui,Nord,Urbain
0,0.0,0.0,45,Secondaire,Mariee,Non,Moins_1x_sem,Moins_1x_sem,Au_moins_1x_sem,1.3333333333333333,52.0,7.0,Superieur,Oui,Nord,Urbain
0,0.0,0.0,35,Secondaire,Mariee,Non,Jamais,Jamais,Au_moins_1x_sem,0.6666666666666666,35.0,0.0,Superieur,Non,Est,Urbain
0,0.0,0.0,25,Superieur,Union_libre,Oui,Au_moins_1x_sem,Au_moins_1x_sem,Au_moins_1x_sem,2.0,40.0,15.0,Superieur,Oui,Est,Urbain
0,0.0,0.0,39,Superieur,Divorcee,Non,Au_moins_1x_sem,Jamais,Au_moins_1x_sem,1.3333333333333333,38.0,8.0,Superieur,Oui,Est,Urbain
0,0.0,0.0,25,Superieur,Mariee,Non,Jamais,Jamais,Au_moins_1x_sem,0.6666666666666666,32.0,7.0,Superieur,Oui,Est,Urbain
0,0.0,0.0,34,Secondaire,Mariee,Non,Jamais,Jamais,Au_moins_1x_sem,0.6666666666666666,37.0,3.0,Superieur,Non,Est,Urbain
0,0.0,0.0,33,Superieur,Mariee,Non,Jamais,Au_moins_1x_sem,Au_moins_1x_sem,1.3333333333333333,39.0,6.0,Superieur,Oui,Est,Urbain
0,0.0,0.0,29,Superieur,Union_libre,Non,Au_moins_1x_sem,Au_moins_1x_sem,Au_moins_1x_sem,2.0,33.0,4.0,Superieur,Oui,Est,Urbain
0,0.0,0.0,33,Secondaire,Separee,Non,Jamais,Jamais,Au_moins_1x_sem,0.6666666666666666,38.0,8.0,Superieur,Oui,Est,Urbain
0,0.0,0.0,26,Superieur,Union_libre,Non,Moins_1x_sem,Jamais,Au_moins_1x_sem,1.0,30.0,4.0,Superieur,Non,Est,Urbain
1,1.0,1.0,32,Primaire,Mariee,Non,Jamais,Jamais,Au_moins_1x_sem,0.6666666666666666,36.0,4.0,Secondaire,Oui,Est,Urbain
0,0.0,0.0,26,Secondaire,Mariee,Non,Jamais,Moins_1x_sem,Au_moins_1x_sem,1.0,35.0,9.0,Superieur,Non,Sud_Ouest,Urbain
0,0.0,0.0,23,Primaire,Mariee,Non,Jamais,Jamais,Au_moins_1x_sem,0.6666666666666666,30.0,7.0,Superieur,Non,Sud_Ouest,Urbain
0,0.0,0.0,22,Primaire,Mariee,Non,Jamais,Jamais,Au_moins_1x_sem,0.6666666666666666,33.0,11.0,Primaire,Non,Sud_Ouest,Urbain
0,0.0,0.0,27,Secondaire,Mariee,Non,Jamais,Jamais,Au_moins_1x_sem,0.6666666666666666,40.0,13.0,Superieur,Non,Sud_Ouest,Urbain
1,1.0,1.0,47,Primaire,Mariee,Non,Jamais,Jamais,Au_moins_1x_sem,0.6666666666666666,57.0,10.0,Aucun,Non,Sud_Ouest,Urbain
0,0.0,0.0,17,Secondaire,Union_libre,Non,Moins_1x_sem,Moins_1x_sem,Au_moins_1x_sem,1.3333333333333333,25.0,8.0,Superieur,Non,Sud_Ouest,Urbain
0,0.0,0.0,26,Primaire,Mariee,Non,Jamais,Jamais,Jamais,0.0,33.0,7.0,Primaire,Non,Sud_Ouest,Urbain
0,0.0,0.0,32,Primaire,Mariee,Non,Jamais,Moins_1x_sem,Jamais,0.3333333333333333,40.0,8.0,Secondaire,Non,Sud_Ouest,Urbain
0,0.0,0.0,27,Secondaire,Mariee,Non,Jamais,Jamais,Jamais,0.0,43.0,16.0,Primaire,Non,Littoral,Rural
1,1.0,0.0,33,Aucun,Union_libre,Non,Jamais,Jamais,Jamais,0.0,38.0,5.0,Primaire,Non,Littoral,Rural
0,0.0,0.0,17,Aucun,Mariee,Non,Jamais,Jamais,Jamais,0.0,55.0,38.0,Aucun,Non,Littoral,Rural
0,0.0,0.0,39,Aucun,Mariee,Non,Jamais,Jamais,Jamais,0.0,52.0,13.0,Aucun,Non,Littoral,Rural
0,0.0,0.0,29,Aucun,Mariee,Non,Jamais,Jamais,Jamais,0.0,34.0,5.0,Aucun,Non,Littoral,Rural
0,0.0,0.0,34,Aucun,Mariee,Non,Jamais,Jamais,Jamais,0.0,40.0,6.0,Aucun,Non,Littoral,Rural
0,0.0,0.0,23,Aucun,Mariee,Non,Jamais,Jamais,Jamais,0.0,30.0,7.0,Aucun,Non,Littoral,Rural
0,0.0,0.0,35,Aucun,Mariee,Non,Jamais,Jamais,Jamais,0.0,50.0,15.0,Aucun,Non,Littoral,Rural
1,1.0,0.0,23,Aucun,Mariee,Non,Jamais,Jamais,Jamais,0.0,27.0,4.0,Superieur,Non,Littoral,Rural
0,0.0,0.0,25,Primaire,Mariee,Non,Jamais,Jamais,Jamais,0.0,26.0,1.0,Secondaire,Non,Littoral,Rural
0,0.0,0.0,18,Aucun,Mariee,Oui,Jamais,Jamais,Jamais,0.0,24.0,6.0,Aucun,Non,Littoral,Rural
0,0.0,0.0,40,Primaire,Mariee,Non,Jamais,Jamais,Jamais,0.0,45.0,5.0,Aucun,Non,Littoral,Rural
1,1.0,0.0,43,Primaire,Mariee,Non,Jamais,Jamais,Jamais,0.0,45.0,2.0,Aucun,Oui,Littoral,Rural
0,0.0,0.0,25,Primaire,Mariee,Non,Jamais,Jamais,Jamais,0.0,40.0,15.0,Primaire,Non,Littoral,Rural
0,0.0,0.0,35,Secondaire,Mariee,Non,Jamais,Jamais,Jamais,0.0,58.0,23.0,Aucun,Oui,Littoral,Rural
0,0.0,0.0,27,Aucun,Mariee,Oui,Jamais,Jamais,Jamais,0.0,58.0,31.0,Aucun,Non,Littoral,Rural
0,0.0,0.0,34,Secondaire,Veuve,Non,Jamais,Moins_1x_sem,Au_moins_1x_sem,1.0,38.0,8.0,Superieur,Non,Sud_Ouest,Rural
1,1.0,0.0,22,Secondaire,Mariee,Non,Jamais,Jamais,Jamais,0.0,25.0,3.0,Secondaire,Oui,Sud_Ouest,Rural
1,1.0,1.0,30,Primaire,Union_libre,Non,Jamais,Moins_1x_sem,Moins_1x_sem,0.6666666666666666,34.0,4.0,Secondaire,Oui,Sud_Ouest,Rural
0,0.0,0.0,33,Secondaire,Mariee,Non,Jamais,Jamais,Jamais,0.0,33.0,0.0,Superieur,Non,Sud_Ouest,Rural
0,0.0,0.0,37,Secondaire,Mariee,Non,Jamais,Moins_1x_sem,Moins_1x_sem,0.6666666666666666,45.0,8.0,Primaire,Non,Sud_Ouest,Rural
1,1.0,0.0,32,Secondaire,Mariee,Non,Jamais,Jamais,Au_moins_1x_sem,0.6666666666666666,36.0,4.0,Superieur,Non,Sud_Ouest,Rural
0,0.0,0.0,29,Primaire,Union_libre,Non,Jamais,Jamais,Jamais,0.0,31.0,2.0,Superieur,Oui,Sud_Ouest,Rural
1,1.0,0.0,35,Secondaire,Mariee,Non,Jamais,Jamais,Jamais,0.0,40.0,5.0,Superieur,Oui,Sud_Ouest,Rural
0,0.0,0.0,48,Primaire,Mariee,Non,Jamais,Jamais,Jamais,0.0,54.0,6.0,Superieur,Non,Sud_Ouest,Rural
0,0.0,0.0,28,Secondaire,Mariee,Oui,Jamais,Jamais,Moins_1x_sem,0.3333333333333333,31.0,3.0,Secondaire,Non,Sud_Ouest,Rural
1,1.0,0.0,40,Primaire,Mariee,Non,Jamais,Jamais,Jamais,0.0,49.0,9.0,Secondaire,Oui,Sud_Ouest,Rural
1,1.0,0.0,30,Secondaire,Mariee,Non,Jamais,Jamais,Au_moins_1x_sem,0.6666666666666666,34.0,4.0,Superieur,Oui,Est,Urbain
0,0.0,0.0,46,Secondaire,Separee,Non,Moins_1x_sem,Au_moins_1x_sem,Au_moins_1x_sem,1.6666666666666667,38.0,8.0,Superieur,Oui,Est,Urbain
0,0.0,0.0,44,Secondaire,Mariee,Non,Moins_1x_sem,Jamais,Jamais,0.3333333333333333,45.0,1.0,Superieur,Non,Est,Urbain
1,1.0,0.0,27,Superieur,Mariee,Non,Jamais,Jamais,Au_moins_1x_sem,0.6666666666666666,37.0,10.0,Superieur,Oui,Est,Urbain
1,1.0,0.0,45,Primaire,Mariee,Non,Jamais,Jamais,Au_moins_1x_sem,0.6666666666666666,45.0,0.0,Secondaire,Oui,Est,Urbain
0,0.0,0.0,32,Secondaire,Mariee,Non,Jamais,Jamais,Au_moins_1x_sem,0.6666666666666666,35.0,3.0,Superieur,Oui,Est,Urbain
1,1.0,1.0,31,Secondaire,Mariee,Non,Jamais,Jamais,Au_moins_1x_sem,0.6666666666666666,39.0,8.0,Superieur,Oui,Est,Urbain
1,1.0,1.0,46,Superieur,Mariee,Non,Jamais,Jamais,Au_moins_1x_sem,0.6666666666666666,51.0,5.0,Superieur,Oui,Est,Urbain
1,1.0,0.0,21,Secondaire,Union_libre,Non,Jamais,Jamais,Au_moins_1x_sem,0.6666666666666666,28.0,7.0,Superieur,Oui,Est,Urbain
0,0.0,0.0,24,Secondaire,Mariee,Non,Au_moins_1x_sem,Au_moins_1x_sem,Au_moins_1x_sem,2.0,31.0,7.0,Superieur,Non,Littoral,Urbain
0,0.0,0.0,29,Primaire,Divorcee,Non,Jamais,Jamais,Jamais,0.0,38.0,8.0,Superieur,Non,Littoral,Urbain
1,1.0,1.0,36,Primaire,Mariee,Non,Jamais,Moins_1x_sem,Au_moins_1x_sem,1.0,52.0,16.0,Superieur,Non,Littoral,Urbain
1,1.0,0.0,28,Secondaire,Union_libre,Non,Jamais,Moins_1x_sem,Au_moins_1x_sem,1.0,28.0,0.0,Superieur,Oui,Littoral,Urbain
1,1.0,0.0,27,Primaire,Union_libre,Non,Jamais,Jamais,Au_moins_1x_sem,0.6666666666666666,30.0,3.0,Superieur,Oui,Littoral,Urbain
0,0.0,0.0,18,Aucun,Mariee,Non,Jamais,Moins_1x_sem,Moins_1x_sem,0.6666666666666666,21.0,3.0,Superieur,Oui,Littoral,Urbain
0,0.0,0.0,32,Aucun,Mariee,Non,Jamais,Jamais,Jamais,0.0,42.0,10.0,Primaire,Non,Littoral,Urbain
1,1.0,0.0,18,Secondaire,Mariee,Non,Jamais,Jamais,Moins_1x_sem,0.3333333333333333,29.0,11.0,Superieur,Non,Littoral,Urbain
1,1.0,0.0,22,Aucun,Mariee,Non,Jamais,Jamais,Jamais,0.0,30.0,8.0,Primaire,Oui,Littoral,Urbain
0,0.0,0.0,29,Primaire,Mariee,Non,Jamais,Moins_1x_sem,Au_moins_1x_sem,1.0,43.0,14.0,Superieur,Non,Littoral,Urbain
1,1.0,0.0,20,Secondaire,Mariee,Non,Jamais,Jamais,Jamais,0.0,21.0,1.0,Superieur,Oui,Littoral,Urbain
0,0.0,0.0,33,Aucun,Divorcee,Non,Jamais,Moins_1x_sem,Moins_1x_sem,0.6666666666666666,38.0,8.0,Superieur,Non,Littoral,Urbain
0,0.0,0.0,18,Primaire,Mariee,Non,Jamais,Jamais,Jamais,0.0,30.0,12.0,Superieur,Non,Littoral,Urbain
1,1.0,1.0,30,Primaire,Union_libre,Non,Jamais,Jamais,Au_moins_1x_sem,0.6666666666666666,40.0,10.0,Aucun,Oui,Sud_Ouest,Rural
0,0.0,0.0,25,Secondaire,Mariee,Non,Jamais,Jamais,Au_moins_1x_sem,0.6666666666666666,30.0,5.0,Superieur,Non,Sud_Ouest,Rural
1,1.0,1.0,42,Secondaire,Union_libre,Oui,Jamais,Jamais,Moins_1x_sem,0.3333333333333333,40.0,-2.0,Aucun,Oui,Sud_Ouest,Rural
0,0.0,0.0,37,Secondaire,Mariee,Non,Jamais,Jamais,Au_moins_1x_sem,0.6666666666666666,58.0,21.0,Superieur,Non,Sud_Ouest,Rural
1,1.0,0.0,40,Secondaire,Mariee,Non,Moins_1x_sem,Moins_1x_sem,Au_moins_1x_sem,1.3333333333333333,44.0,4.0,Superieur,Oui,Sud_Ouest,Rural
0,0.0,0.0,22,Secondaire,Union_libre,Non,Jamais,Au_moins_1x_sem,Jamais,0.6666666666666666,28.0,6.0,Superieur,Non,Sud_Ouest,Rural
0,0.0,0.0,20,Secondaire,Mariee,Non,Moins_1x_sem,Moins_1x_sem,Au_moins_1x_sem,1.3333333333333333,33.0,13.0,Superieur,Oui,Sud_Ouest,Rural
0,0.0,0.0,36,Secondaire,Separee,Non,Jamais,Moins_1x_sem,Au_moins_1x_sem,1.0,38.0,8.0,Superieur,Oui,Centre,Urbain
1,1.0,0.0,27,Secondaire,Mariee,Oui,Moins_1x_sem,Moins_1x_sem,Au_moins_1x_sem,1.3333333333333333,32.0,5.0,Superieur,Oui,Centre,Urbain
0,0.0,0.0,28,Superieur,Mariee,Non,Jamais,Jamais,Au_moins_1x_sem,0.6666666666666666,32.0,4.0,Superieur,Non,Centre,Urbain
0,0.0,0.0,40,Secondaire,Mariee,Non,Au_moins_1x_sem,Jamais,Au_moins_1x_sem,1.3333333333333333,41.0,1.0,Superieur,Non,Centre,Urbain
1,1.0,1.0,46,Secondaire,Separee,Non,Jamais,Au_moins_1x_sem,Au_moins_1x_sem,1.3333333333333333,38.0,8.0,Superieur,Oui,Centre,Urbain
0,0.0,0.0,22,Secondaire,Union_libre,Non,Jamais,Jamais,Au_moins_1x_sem,0.6666666666666666,32.0,10.0,Superieur,Oui,Centre,Urbain
1,1.0,0.0,19,Secondaire,Mariee,Non,Jamais,Jamais,Au_moins_1x_sem,0.6666666666666666,19.0,0.0,Superieur,Non,Centre,Urbain
0,0.0,0.0,33,Primaire,Union_libre,Non,Moins_1x_sem,Jamais,Au_moins_1x_sem,1.0,38.0,5.0,Secondaire,Non,Centre,Urbain
0,0.0,0.0,22,Secondaire,Union_libre,Non,Moins_1x_sem,Jamais,Au_moins_1x_sem,1.0,31.0,9.0,Superieur,Oui,Centre,Urbain
1,1.0,0.0,25,Primaire,Separee,Non,Jamais,Moins_1x_sem,Au_moins_1x_sem,1.0,38.0,8.0,Superieur,Non,Centre,Urbain
0,0.0,0.0,48,Primaire,Mariee,Non,Jamais,Au_moins_1x_sem,Au_moins_1x_sem,1.3333333333333333,58.0,10.0,Primaire,Oui,Sud,Rural
0,0.0,0.0,33,Primaire,Mariee,Non,Moins_1x_sem,Au_moins_1x_sem,Au_moins_1x_sem,1.6666666666666667,34.0,1.0,Secondaire,Oui,Sud,Rural
0,0.0,0.0,31,Aucun,Union_libre,Oui,Jamais,Au_moins_1x_sem,Moins_1x_sem,1.0,46.0,15.0,Primaire,Oui,Sud,Rural
1,1.0,0.0,40,Secondaire,Mariee,Non,Moins_1x_sem,Jamais,Jamais,0.3333333333333333,68.0,28.0,Secondaire,Oui,Sud,Rural
1,1.0,0.0,39,Secondaire,Mariee,Non,Jamais,Moins_1x_sem,Jamais,0.3333333333333333,50.0,11.0,Secondaire,Oui,Sud,Rural
0,0.0,0.0,28,Secondaire,Mariee,Non,Jamais,Jamais,Jamais,0.0,35.0,7.0,Superieur,Oui,Sud,Rural
0,0.0,0.0,40,Secondaire,Mariee,Non,Jamais,Moins_1x_sem,Jamais,0.3333333333333333,45.0,5.0,Superieur,Oui,Sud,Rural
1,1.0,0.0,33,Secondaire,Separee,Oui,Jamais,Jamais,Jamais,0.0,38.0,8.0,Superieur,Oui,Sud,Rural
1,1.0,0.0,31,Secondaire,Mariee,Non,Jamais,Au_moins_1x_sem,Au_moins_1x_sem,1.3333333333333333,55.0,24.0,Superieur,Oui,Littoral,Urbain
0,0.0,0.0,26,Secondaire,Separee,Non,Jamais,Au_moins_1x_sem,Au_moins_1x_sem,1.3333333333333333,38.0,8.0,Superieur,Oui,Littoral,Urbain
0,0.0,0.0,32,Secondaire,Mariee,Oui,Jamais,Moins_1x_sem,Au_moins_1x_sem,1.0,38.0,6.0,Superieur,Non,Littoral,Urbain
